Unique ID,Date,URL,Page title,Lang,What's wrong,Details,Tags,Info exists,Actionable,PII
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,The answer I need is missing,,,,,
,,,,,The answer I need is missing,,,,,
,,,,,Other reason,,,,,
,,,,,Something is broken or incorrect,,,,,
,,,,,Something is broken or incorrect,,,,,
05/20-0001,"11 May, 2020 15:20",,Prevention+risks,EN,The answer I need is missing,I need to know if I can travel from Toronto to Muskoka cottage this weekend,Travel within Canada,,checked,
05/20-0002,"11 May, 2020 13:22",,Symptoms,EN,,Not enough information on symptoms by now there should other infomation such as things people notice before getting sick. Could be simple things like a different taste in a persons mouth or headache and other items,Symptoms,,checked,
05/20-0004,"11 May, 2020 13:24",,Prevention+risks,EN,The answer I need is missing,There is an article stating it’s illegal to not wear a face mask in public in Canada. Is this true? Your website states optional. Also purchasing them takes supplies from those who need them,PPE,,,Email
05/20-0005,"11 May, 2020 13:27",,Prevention+risks,EN,The answer I need is missing,what tp know the rules,Feedback unclear,,checked,
05/20-0006,"11 May, 2020 13:37",,Prevention+risks,EN,,I am on oxygen 24/day. Should I wear a face mask?,PPE,,,Full name
05/20-0007,"11 May, 2020 13:46",,Symptoms,EN,,Is 38.8temp concerning,Symptoms,,checked,Address
05/20-0008,"11 May, 2020 14:05",,Prevention+risks,EN,The answer I need is missing,Looking for a contact to request a self isolation requirement be revoked as it was issues by mistake.,Quarantine and isolation,,checked,SIN
05/20-0010,"11 May, 2020 14:12",,Symptoms,EN,The answer I need is missing,I'm wondering if you have a serve case how do you treat it?,"Treatment,Severe case",,checked,
05/20-0013,"11 May, 2020 14:45",,Prevention+risks,EN,The information isn’t clear,"I would like to know, if I go to the grocery store or for a walk, can I transmit the virus on my shoes or jacket and come home and infect others in the house, is leaving my shoes at the door enough or do I have to disinfect them.",Transmission,,,Phone number
05/20-0014,"11 May, 2020 14:49",,Prevention+risks,EN,,"Is this real? Is there a Law, effective TODAY forcing All Canadian to wear a ask? Please see web link below https://toronto-ontario.news/news/you-can-get-jail-time-for-not-wearing-a-face-mask-in-canada-starting-next-week/",PPE,,checked,
05/20-0015,"11 May, 2020 14:56",,Prevention+risks,EN,The answer I need is missing,If someone is asymptomatic and they quarantine for 14 days are they still a risk to spread the virus. (If they never show symptoms will the virus be gone in 14 days?),Contagious,,checked,
05/20-0016,"11 May, 2020 14:57",,Symptoms,EN,The answer I need is missing,"If you suspect you have a mild case of corona virus, how long does it take to get better? Also are there other symptoms that are associated with the recovery stage?",Course of illness,,checked,
05/20-0017,"11 May, 2020 14:59",,Prevention+risks,EN,The information isn’t clear,"Standards for masks, whats acceptable what isnt.",PPE,,checked,
05/20-0018,"11 May, 2020 15:20",,Symptoms,FR,The answer I need is missing,Moi garçon testé positif après 14jour encor des symptôme,Feedback unclear,,checked,
05/20-0019,"11 May, 2020 15:28",,Symptoms,FR,,Pendant combien de temps pouvons-nous avoir des symptômes et combien de temps pouvons-nous être contagieux. Est-ce que les symptômes peuvent durer plus de 14 jours?,Contagious,,checked,
